Co59,Co59
E_eV,Sig_b
1e-05,1914.02721
1.03125e-05,1884.81438
1.0625e-05,1856.8996
1.09375e-05,1830.19071
1.125e-05,1804.60276
1.15625e-05,1780.05901
1.1875e-05,1756.49081
1.21875e-05,1733.83473
1.25e-05,1712.03443
1.28125e-05,1691.0367
1.3125e-05,1670.79342
1.34375e-05,1651.25958
1.375e-05,1632.39723
1.4375e-05,1596.53362
1.5e-05,1562.9354
1.5625e-05,1531.37527
1.625e-05,1501.65365
1.6875e-05,1473.59857
1.75e-05,1447.06156
1.8125e-05,1421.90853
1.875e-05,1398.02481
1.9375e-05,1375.30702
2e-05,1353.66202
2.09375e-05,1323.03091
2.1875e-05,1294.39177
2.28125e-05,1267.53582
2.375e-05,1242.28794
2.46875e-05,1218.49157
2.5625e-05,1196.01461
2.65625e-05,1174.73834
2.75e-05,1154.55938
2.84375e-05,1135.38761
2.9375e-05,1117.14117
3.03125e-05,1099.74839
3.125e-05,1083.14477
3.21875e-05,1067.27198
3.3125e-05,1052.07783
3.40625e-05,1037.51621
3.5e-05,1023.54305
3.59375e-05,1010.12085
3.6875e-05,997.21411
3.78125e-05,984.79057
3.875e-05,972.82087
3.96875e-05,961.27807
4.0625e-05,950.13721
4.25e-05,928.97243
4.4375e-05,909.16429
4.625e-05,890.5738
4.8125e-05,873.08128
5e-05,856.58263
5.15625e-05,843.52722
5.3125e-05,831.0525
5.46875e-05,819.11662
5.625e-05,807.6818
5.78125e-05,796.71406
5.9375e-05,786.18249
6.09375e-05,776.05884
6.25e-05,766.31743
6.40625e-05,756.9349
6.5625e-05,747.88978
6.71875e-05,739.1622
6.875e-05,730.73415
7.1875e-05,714.71072
7.5e-05,699.70027
7.8125e-05,685.60043
8.125e-05,672.32268
8.4375e-05,659.79025
8.75e-05,647.93592
9.0625e-05,636.70072
9.375e-05,626.03257
9.6875e-05,615.88541
0.0001,606.2181
0.000103125,596.99411
0.00010625,588.18058
0.000109375,579.74794
0.0001125,571.66948
0.000115625,563.92115
0.00011875,556.48116
0.000121875,549.32945
0.000125,542.448
0.000128125,535.82014
0.00013125,529.43073
0.000134375,523.26584
0.0001375,517.31258
0.00014375,505.99462
0.00015,495.39263
0.00015625,485.43427
0.0001625,476.05683
0.00016875,467.20616
0.000175,458.83471
0.00018125,450.90082
0.0001875,443.36758
0.00019375,436.20263
0.0002,429.37664
0.000209375,419.71777
0.00021875,410.68775
0.000228125,402.22131
0.0002375,394.26231
0.000246875,386.76205
0.00025625,379.67798
0.000265625,372.97318
0.000275,366.61503
0.000284375,360.57459
0.00029375,354.826382
0.000303125,349.347509
0.0003125,344.117721
0.000321875,339.118714
0.00033125,334.333928
0.000340625,329.748535
0.00035,325.349139
0.000359375,321.123474
0.00036875,317.060497
0.000378125,313.149886
0.0003875,309.38244
0.000396875,305.749773
0.00040625,302.243815
0.000425,295.584317
0.00044375,289.352639
0.0004625,283.50494
0.00048125,278.003508
0.0005,272.815442
0.000515625,268.710617
0.00053125,264.78881
0.000546875,261.036941
0.0005625,257.442962
0.000578125,253.996145
0.00059375,250.686688
0.000609375,247.505805
0.000625,244.445427
0.000640625,241.498002
0.00065625,238.65689
0.000671875,235.915763
0.0006875,233.269004
0.00071875,228.237565
0.00075,223.525112
0.00078125,219.099292
0.0008125,214.932248
0.00084375,210.999697
0.000875,207.280421
0.00090625,203.756058
0.0009375,200.409885
0.00096875,197.227625
0.001,194.196228
0.00103125,191.304175
0.0010625,188.54117
0.00109375,185.897839
0.001125,183.365826
0.00115625,180.93749
0.0011875,178.606105
0.00121875,176.365157
0.00125,174.209143
0.00128125,172.132769
0.0013125,170.13125
0.00134375,168.200308
0.001375,166.335673
0.0014375,162.791268
0.0015,159.471478
0.0015625,156.353515
0.001625,153.417951
0.0016875,150.647503
0.00175,148.027329
0.0018125,145.544217
0.001875,143.186885
0.0019375,140.944773
0.002,138.80904
0.00209375,135.787009
0.0021875,132.962046
0.00228125,130.31355
0.002375,127.823966
0.00246875,125.477977
0.0025625,123.262299
0.00265625,121.165272
0.00275,119.176758
0.00284375,117.287639
0.0029375,115.49001
0.00303125,113.776578
0.003125,112.141063
0.00321875,110.577695
0.0033125,109.08141
0.00340625,107.647451
0.0035,106.271608
0.00359375,104.950116
0.0036875,103.679475
0.00378125,102.456498
0.003875,101.278283
0.00396875,100.142168
0.0040625,99.045698
0.00425,96.962865
0.0044375,95.01378
0.004625,93.184718
0.0048125,91.463839
0.005,89.840908
0.00515625,88.556779
0.0053125,87.329841
0.00546875,86.155986
0.005625,85.031478
0.00578125,83.952955
0.0059375,82.91738
0.00609375,81.921967
0.00625,80.964184
0.00640625,80.041729
0.0065625,79.152476
0.00671875,78.294486
0.006875,77.465965
0.0071875,75.890854
0.0075,74.415416
0.0078125,73.029558
0.008125,71.724571
0.0084375,70.492897
0.00875,69.327904
0.0090625,68.223809
0.009375,67.175474
0.0096875,66.178367
0.01,65.228438
0.0103125,64.322103
0.010625,63.456118
0.0109375,62.627574
0.01125,61.833854
0.0115625,61.072581
0.011875,60.341612
0.0121875,59.638985
0.0125,58.962907
0.0128125,58.311758
0.013125,57.68404
0.0134375,57.078374
0.01375,56.493493
0.014375,55.381565
0.015,54.339948
0.015625,53.361532
0.01625,52.440171
0.016875,51.570526
0.0175,50.747942
0.018125,49.968308
0.01875,49.228033
0.019375,48.523912
0.02,47.85309
0.0206625,47.175551
0.021325,46.52988
0.0219875,45.913647
0.02265,45.324701
0.0233125,44.761073
0.023975,44.221015
0.0246375,43.702929
0.0253,43.205359
0.02645782,42.381154
0.02761563,41.609456
0.02877344,40.884903
0.02993125,40.202876
0.03108907,39.559369
0.03224688,38.950878
0.03340469,38.37433
0.0345625,37.827016
0.03552735,37.391513
0.03649219,36.973395
0.03745704,36.571526
0.03842188,36.184893
0.03938673,35.812542
0.04035157,35.453641
0.04131641,35.107377
0.04228125,34.773027
0.04421094,34.1375
0.04614063,33.542286
0.04807032,32.983329
0.05,32.45709
0.0515625,32.052837
0.053125,31.66659
0.0546875,31.297046
0.05625,30.94305
0.0578125,30.60353
0.059375,30.277553
0.0609375,29.964216
0.0625,29.662747
0.0640625,29.372414
0.065625,29.092535
0.0671875,28.822488
0.06875,28.561722
0.071875,28.065927
0.075,27.601421
0.078125,27.165035
0.08125,26.754041
0.084375,26.366076
0.0875,25.999092
0.090625,25.651266
0.09375,25.320994
0.096875,25.006873
0.1,24.707609
0.103125,24.422071
0.10625,24.149247
0.109375,23.888223
0.1125,23.638178
0.115625,23.398362
0.11875,23.168102
0.121875,22.946787
0.125,22.733876
0.128125,22.528837
0.13125,22.331201
0.134375,22.140537
0.1375,21.956432
0.14375,21.606372
0.15,21.278366
0.15625,20.97017
0.1625,20.67989
0.16875,20.405905
0.175,20.14676
0.18125,19.901195
0.1875,19.668086
0.19375,19.446423
0.2,19.235284
0.209375,18.936489
0.21875,18.657048
0.228125,18.39496
0.2375,18.148551
0.246875,17.916339
0.25625,17.697012
0.265625,17.489439
0.275,17.292609
0.284375,17.105609
0.29375,16.927669
0.303125,16.758069
0.3125,16.596177
0.321875,16.441432
0.33125,16.293314
0.340625,16.151383
0.35,16.015208
0.359375,15.884414
0.36875,15.758666
0.378125,15.637665
0.3875,15.521142
0.396875,15.408839
0.40625,15.300494
0.425,15.094632
0.44375,14.901814
0.4625,14.720823
0.5,14.390491
0.53125,14.142482
0.5625,13.915058
0.59375,13.705861
0.625,13.512643
0.6875,13.16673
0.75,12.865261
0.8125,12.599502
0.875,12.363615
0.9375,12.151822
1.0,11.959685
1.0625,11.7849
1.125,11.625026
1.1875,11.478068
1.25,11.342385
1.375,11.099614
1.5,10.888202
1.625,10.70198
1.75,10.536796
1.875,10.388632
2.0,10.254191
2.1875,10.075071
2.375,9.918209
2.5625,9.779281
2.75,9.655459
2.9375,9.544008
3.125,9.442769
3.3125,9.350556
3.5,9.266145
3.875,9.116881
4.25,8.988819
4.625,8.877594
5.0,8.780131
5.3125,8.707593
5.625,8.64164
6.25,8.526534
6.875,8.429596
7.5,8.34708
8.125,8.276275
8.75,8.215274
9.375,8.162429
10.0,8.116452
10.625,8.076529
11.25,8.041915
12.5,7.986316
13.75,7.946018
15.0,7.918522
16.25,7.902059
17.5,7.895438
18.75,7.897651
20.0,7.907893
21.875,7.937537
23.75,7.983407
25.625,8.044877
27.5,8.12186
29.375,8.214315
32.1875,8.38404
35.0,8.588277
36.875,8.747636
38.75,8.925997
40.625,9.124629
